PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
4308,Laois County Leasing,Portlaoise,Co. Laois,Housing Void,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4309,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,2009,3
431,The Belfry (Owned),Stepaside,Dublin 18,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,2
4310,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2009,3
U13831,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
4313,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2006,3
4315,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2009,3
4316,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2009,3
4318,Laois County Leasing,Mountrath,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,3
U13832,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13833,Effernock,Trim,Co. Meath,Housing Void,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
4320,Laois County Leasing,Mountrath,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,3
4321,Laois County Leasing,Abbeyleix,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2007,3
4322,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2007,3
U13834,Effernock,Trim,Co. Meath,Pre-acquisition Void,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
4324,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Apartment,2006,2
U13835,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
4328,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Apartment,2006,2
U13836,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
433,The Belfry (Owned),Stepaside,Dublin 18,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,1
4332,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4333,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4334,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4337,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2009,3
434,The Belfry (Owned),Stepaside,Dublin 18,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,2
4340,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,2006,2
4344,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,1997,3
4345,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,3
U13837,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13838,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,1
435,The Belfry (Owned),Stepaside,Dublin 18,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,2
4350,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2009,3
4351,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,3
U13839,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
U13840,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
4354,Laois County Leasing,Portarlington,Co. Laois,Housing Void,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Apartment,2009,2
4355,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,2009,2
U13910,Ard Na Greine,Milltown,Co. Kerry,Pre-acquisition Void,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13911,Ard Na Greine,Milltown,Co. Kerry,Pre-acquisition Void,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13912,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
372,Killarney Court Estate,Killarney Street,Dublin 1,Occupied,Property,Eimear Lynch,Residential In Management,Dublin City ,Older Persons - Sheltered,Apartment,2002,1
U13913,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
3723,Morrisons Island,Cork,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,1990,2
U13810,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Apartment,2022,1
U13811,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Apartment,2022,1
U13812,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Apartment,2022,2
2496,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
2497,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
2498,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
2499,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
U13813,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Apartment,2022,3
